OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN,CODIGOCTMESTACIONREDMETRO
1,5,330338,C2,C-2,1,1,12,,517,2,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20010621,19930101,,11511.4911,30,5,93_151,,,5__2_____1_IT_1_5_12__517_TI_I_2,,,,5__2___,5__2_____1_IT_1,5_12,5_12_,5_12_517,
2,5,330357,C2,C-2,2,1,12,,518,18,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20010621,19930101,,4060.4553,30,5,93_151,,,5__2_____2_IT_1_5_12__518_TI_I_18,,,,5__2___,5__2_____2_IT_1,5_12,5_12_,5_12_518,
3,5,364228,C8,C-8,1,1,12,,517,2,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20190919,20181105,,11511.4911,30,5,93_151,,,5__8_____1_IT_1_5_12__517_TI_I_2,,,,5__8___,5__8_____1_IT_1,5_12,5_12_,5_12_517,
4,5,364229,C8,C-8,2,1,12,,518,31,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20190919,20181105,,4060.4553,30,5,93_151,,,5__8_____2_IT_1_5_12__518_TI_I_31,,,,5__8___,5__8_____2_IT_1,5_12,5_12_,5_12_518,
5,5,370837,C8A,C-8a,1,1,12,,517,2,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20240125,20240101,,,30,5,93_151,,,5__8_A____1_IT_1_5_12__517_TI_I_2,,,,5__8_A__,5__8_A____1_IT_1,5_12,5_12_,5_12_517,
6,5,370838,C8A,C-8a,2,1,12,,518,32,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20240125,20240101,,4060.4553,30,5,93_151,,,5__8_A____2_IT_1_5_12__518_TI_I_32,,,,5__8_A__,5__8_A____2_IT_1,5_12,5_12_,5_12_518,
7,5,330338,C2,C-2,1,1,38,,571,1,TI,C,GUADALAJARA,19,130,GUADALAJARA,E1,Plaza de la Estación SN SN,20010621,19930101,,0,0,5,93_224,,,5__2_____1_IT_1_5_38__571_TI_C_1,,,,5__2___,5__2_____1_IT_1,5_38,5_38_,5_38_571,
8,5,330357,C2,C-2,2,1,38,,572,19,TI,C,GUADALAJARA,19,130,GUADALAJARA,E1,Plaza de la Estación SN SN,20010621,19930101,,11511.1731,30,5,93_224,,,5__2_____2_IT_1_5_38__572_TI_C_19,,,,5__2___,5__2_____2_IT_1,5_38,5_38_,5_38_572,
9,5,364228,C8,C-8,1,1,38,,571,1,TI,C,GUADALAJARA,19,130,GUADALAJARA,E1,Plaza de la Estación SN SN,20190919,20181105,,0,0,5,93_224,,,5__8_____1_IT_1_5_38__571_TI_C_1,,,,5__8___,5__8_____1_IT_1,5_38,5_38_,5_38_571,
10,5,364229,C8,C-8,2,1,38,,572,32,TI,C,GUADALAJARA,19,130,GUADALAJARA,E1,Plaza de la Estación SN SN,20190919,20181105,,11511.1731,30,5,93_224,,,5__8_____2_IT_1_5_38__572_TI_C_32,,,,5__8___,5__8_____2_IT_1,5_38,5_38_,5_38_572,
